tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,data_type,year
1968-T101,Bombay,Clay,,A,19671228,107,100092,,,Alex Metreveli,R,,RUS,23.1,100035,,,Ion Tiriac,R,185.0,ROU,28.6,11-9 6-3 6-3,5,F,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T101,Bombay,Clay,,A,19671228,101,100092,,,Alex Metreveli,R,,RUS,23.1,100113,,,Jan Kodes,R,175.0,CZE,21.8,6-4 3-6 6-1,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T101,Bombay,Clay,,A,19671228,102,110991,,,Jaidip Mukerjea,R,,IND,25.6,100070,,,Jan Kukal,R,,CZE,25.2,5-7 10-8 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T101,Bombay,Clay,,A,19671228,103,100051,,,Premjit Lall,R,,IND,27.1,100119,,,Ilie Nastase,R,183.0,ROU,21.4,6-3 2-6 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T101,Bombay,Clay,,A,19671228,104,100035,,,Ion Tiriac,R,185.0,ROU,28.6,114613,,,Shyam Minotra,U,,IND,21.2,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T101,Bombay,Clay,,A,19671228,105,100092,,,Alex Metreveli,R,,RUS,23.1,110991,,,Jaidip Mukerjea,R,,IND,25.6,6-4 8-6,3,SF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T101,Bombay,Clay,,A,19671228,106,100035,,,Ion Tiriac,R,185.0,ROU,28.6,100051,,,Premjit Lall,R,,IND,27.1,6-4 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T102,Calcutta,,,A,19671228,107,100035,,,Ion Tiriac,R,185.0,ROU,28.6,110991,,,Jaidip Mukerjea,R,,IND,25.6,6-4 4-6 6-2 5-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T102,Calcutta,,,A,19671228,101,100035,,,Ion Tiriac,R,185.0,ROU,28.6,100141,,,Zeljko Franulovic,R,,CRO,20.5,6-3 6-3 4-6 8-6,5,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T102,Calcutta,,,A,19671228,102,100051,,,Premjit Lall,R,,IND,27.1,211821,,,Vinay Dhawan,U,,IND,,6-3 6-1 6-0,5,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T102,Calcutta,,,A,19671228,103,110991,,,Jaidip Mukerjea,R,,IND,25.6,110159,,,Gaurav Misra,R,,IND,17.9,6-4 6-4 5-7 8-6,5,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T102,Calcutta,,,A,19671228,104,100119,,,Ilie Nastase,R,183.0,ROU,21.4,114613,,,Shyam Minotra,U,,IND,21.2,6-4 6-2 6-2,5,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-T102,Calcutta,,,A,19671228,106,110991,,,Jaidip Mukerjea,R,,IND,25.6,100119,,,Ilie Nastase,R,183.0,ROU,21.4,6-1 4-6 6-4 8-6,5,SF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,101,109812,,,Jan Leschly,L,,DEN,27.3,100120,,,Robert Maud,R,180.0,RSA,21.3,3-6 6-3 8-6,3,F,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,104,100073,,,Mark Cox,L,185.0,GBR,24.4,100085,,,Hans Joachim Ploetz,R,,GER,23.8,6-2 6-1,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,105,109812,,,Jan Leschly,L,,DEN,27.3,100121,,,Raymond Moore,R,183.0,RSA,21.3,6-3 4-6 6-3,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,106,100120,,,Robert Maud,R,180.0,RSA,21.3,100011,,,Torben Ulrich,L,180.0,DEN,39.2,6-2 9-7,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,107,100067,,,Frew Mcmillan,R,183.0,RSA,25.6,100040,,,Bob Hewitt,R,190.0,RSA,27.9,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,108,100073,,,Mark Cox,L,185.0,GBR,24.4,109743,,,Paul Hutchins,R,,GBR,22.7,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,109,100040,,,Bob Hewitt,R,190.0,RSA,27.9,109914,,,Jackie Saul,R,,RSA,,6-3 4-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,110,109812,,,Jan Leschly,L,,DEN,27.3,202896,,,Rohan Summers,U,178.0,RSA,,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,111,100120,,,Robert Maud,R,180.0,RSA,21.3,100161,,,Jurgen Fassbender,R,,GER,19.5,6-2 5-7 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,112,100067,,,Frew Mcmillan,R,183.0,RSA,25.6,209425,,,Alfred Schwartz,U,,RSA,,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,113,100121,,,Raymond Moore,R,183.0,RSA,21.3,100084,,,Tom Okker,R,178.0,NED,23.8,6-0 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,114,100085,,,Hans Joachim Ploetz,R,,GER,23.8,100078,,,Clark Graebner,R,188.0,USA,24.1,4-6 6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,115,100011,,,Torben Ulrich,L,180.0,DEN,39.2,100033,,,Wilhelm Bungert,R,188.0,GER,28.7,6-2 8-6,3,R16,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,116,100033,,,Wilhelm Bungert,R,188.0,GER,28.7,108052,,,Rauty Krog,R,,RSA,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,117,100073,,,Mark Cox,L,185.0,GBR,24.4,103616,,,Andre Van Der Merwe B,R,,RSA,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,118,100161,,,Jurgen Fassbender,R,,GER,19.5,109856,,,Edison Mandarino,U,173.0,BRA,26.7,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,119,100078,,,Clark Graebner,R,188.0,USA,24.1,109950,,,Francois Van Der Merwe,R,,RSA,,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,120,100040,,,Bob Hewitt,R,190.0,RSA,27.9,100007,,,Abe Segal,L,,RSA,37.1,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,121,109743,,,Paul Hutchins,R,,GBR,22.7,100060,,,Marty Riessen,R,185.0,USA,26.0,W/O,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,122,109812,,,Jan Leschly,L,,DEN,27.3,109800,,,Mathias Werren,R,,SUI,23.6,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,123,100120,,,Robert Maud,R,180.0,RSA,21.3,100152,,,David Lloyd,R,,GBR,19.9,6-3 11-9,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,124,100067,,,Frew Mcmillan,R,183.0,RSA,25.6,106867,,,Derek Schroder,R,,RSA,,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,125,100121,,,Raymond Moore,R,183.0,RSA,21.3,110947,,,Frank Saloman,U,,RHO,25.0,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
1968-9346,Cape Town,,,A,19680101,126,100084,,,Tom Okker,R,178.0,NED,23.8,109948,,,Clive Brebnor,R,,RSA,24.8,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,,ATP,1968
