ATP,Location,Tournament,Date,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,CBW,CBL,EXW,EXL,UBW,UBL,LBW,LBL,SJW,SJL,IWW,IWL,GBW,GBL,SBW,SBL,B&WW,B&WL,Surface_Clay,Surface_Grass,Surface_Hard,Round_2nd Round,Round_3rd Round,Round_4th Round,Round_Quarterfinals,Round_Round Robin,Round_Semifinals,Round_The Final,Court_Outdoor,Series_ATP250,Series_ATP500,Series_Grand Slam,Series_International,Series_International Gold,Series_Masters,Series_Masters 1000,Series_Masters Cup,Player1,Player2,P1Rank,P2Rank,P1Pts,P2Pts,Label,H2H_P1_Wins,H2H_Total,H2H_P1_WinRate,H2H_P1_GamesWonRatio,H2H_P1_SetsWonRatio,P1_Matches_7Days,P2_Matches_7Days,P1_Matches_14Days,P2_Matches_14Days,P1_Games_7Days,P2_Games_7Days,P1_WinLoss_7Days,P2_WinLoss_7Days,P1_GamesWonRatio_7Days,P2_GamesWonRatio_7Days,P1_GamesWonRatio_14Days,P2_GamesWonRatio_14Days,P1_GamesPlayed_7Days,P2_GamesPlayed_14Days,P1_SetsPlayed_7Days,P2_SetsPlayed_7Days,P1_SetsPlayed_14Days,P2_SetsPlayed_14Days,P1_Days_Since_Last,P2_Days_Since_Last,P1_GamesPlayed_14Days,P2_GamesPlayed_7Days,Log_P1Rank,Log_P2Rank
3,Doha,Qatar Open,1/3/00,3,schuettler r.,mirnyi m.,47,74,0,0,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,schuettler r.,mirnyi m.,47,74,0,0,1,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,100,100,0,0,3.871201010907891,4.317488114
3,Doha,Qatar Open,1/3/00,3,caratti c.,heuberger i.,211,219,0,0,7,6,4,6,6,4,,,,,2,1,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,caratti c.,heuberger i.,211,219,0,0,1,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,100,100,0,0,5.356586274672012,5.393627546352362
3,Doha,Qatar Open,1/3/00,3,berasategui a.,al-alawi s.k.,60,65,0,0,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,berasategui a.,al-alawi s.k.,60,65,0,0,1,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,100,100,0,0,4.110873864173311,4.189654742026425
3,Doha,Qatar Open,1/3/00,3,bastl g.,novak j.,85,36,0,0,6,4,7,5,,,,,,,2,0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,bastl g.,novak j.,85,36,0,0,1,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,100,100,0,0,4.454347296253507,3.610917912644224
2,Chennai,Gold Flake Open,1/3/00,3,golmard j.,hantschk m.,38,128,0,0,6,3,6,7,6,3,,,,,2,1,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,hantschk m.,golmard j.,128,38,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,100,100,0,0,4.859812404361672,3.6635616461296463
2,Chennai,Gold Flake Open,1/3/00,3,hantschk m.,pioline c.,128,14,0,0,6,4,2,6,7,6,,,,,2,1,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,pioline c.,hantschk m.,14,128,0,0,0,0,0,0.5,0.5,0.5,0,1,0,1,0,31,0.5,0,0.5,0.4193548387096774,0.5,0.4193548387096774,0,31,0,3,0,3,100,100,0,31,2.708050201,4.859812404361672
2,Chennai,Gold Flake Open,1/3/00,3,golmard j.,damm m.,38,104,0,0,3,6,6,3,6,3,,,,,2,1,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,damm m.,golmard j.,104,38,0,0,0,0,0,0.5,0.5,0.5,0,1,0,1,0,31,0.5,1,0.5,0.5806451612903226,0.5,0.5806451612903226,0,31,0,3,0,3,100,100,0,31,4.653960350157523,3.6635616461296463
2,Chennai,Gold Flake Open,1/3/00,3,pioline c.,sanguinetti d.,14,121,0,0,3,6,6,4,7,6,,,,,2,1,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,sanguinetti d.,pioline c.,121,14,0,0,0,0,0,0.5,0.5,0.5,0,1,0,1,0,31,0.5,0,0.5,0.5161290322580645,0.5,0.5161290322580645,0,31,0,3,0,3,100,100,0,31,4.804021044733257,2.708050201
2,Chennai,Gold Flake Open,1/3/00,3,golmard j.,delgado j.,38,162,0,0,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,delgado j.,golmard j.,162,38,0,0,0,0,0,0.5,0.5,0.5,0,2,0,2,0,58,0.5,1,0.5,0.5689655172413793,0.5,0.5689655172413793,0,58,0,6,0,6,100,100,0,58,5.093750200806762,3.6635616461296463
2,Chennai,Gold Flake Open,1/3/00,3,damm m.,manta l.,104,117,0,0,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,damm m.,manta l.,104,117,0,0,1,0,0,0.5,0.5,0.5,1,0,1,0,27,0,0,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,27,0,3,0,3,0,100,100,27,0,4.653960350157523,4.770684624465665
2,Chennai,Gold Flake Open,1/3/00,3,sanguinetti d.,vinciguerra a.,121,99,0,0,2,6,7,5,6,3,,,,,2,1,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,vinciguerra a.,sanguinetti d.,99,121,0,0,0,0,0,0.5,0.5,0.5,0,1,0,1,0,32,0.5,0,0.5,0.5,0.5,0.5,0,32,0,3,0,3,100,100,0,32,4.605170185988092,4.804021044733257
2,Chennai,Gold Flake Open,1/3/00,3,pioline c.,paes l.,14,145,0,0,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,pioline c.,paes l.,14,145,0,0,1,0,0,0.5,0.5,0.5,2,0,2,0,63,0,0.5,0.5,0.5079365079365079,0.5,0.5079365079365079,0.5,63,0,6,0,6,0,100,100,63,0,2.708050201,4.983606621708336
