rank,player_name,points,player_url,scraped_at
1,J. Sinner,13450,/en/players/jannik-sinner/s0ag/overview,2026-07-14T15:18:08.978153
2,A. Zverev,8480,/en/players/alexander-zverev/z355/overview,2026-07-14T15:18:08.978153
3,C. Alcaraz,8160,/en/players/carlos-alcaraz/a0e2/overview,2026-07-14T15:18:08.978153
4,F. Auger-Aliassime,4740,/en/players/felix-auger-aliassime/ag37/overview,2026-07-14T15:18:08.978153
5,A. de Minaur,4110,/en/players/alex-de-minaur/dh58/overview,2026-07-14T15:18:08.978153
6,B. Shelton,3770,/en/players/ben-shelton/s0s1/overview,2026-07-14T15:18:08.978153
7,N. Djokovic,3760,/en/players/novak-djokovic/d643/overview,2026-07-14T15:18:08.978153
8,D. Medvedev,3670,/en/players/daniil-medvedev/mm58/overview,2026-07-14T15:18:08.978153
9,F. Cobolli,3460,/en/players/flavio-cobolli/c0e9/overview,2026-07-14T15:18:08.978153
10,T. Fritz,3365,/en/players/taylor-fritz/fb98/overview,2026-07-14T15:18:08.978153
11,A. Bublik,2810,/en/players/alexander-bublik/bk92/overview,2026-07-14T15:18:08.978153
12,J. Lehecka,2510,/en/players/jiri-lehecka/l0bv/overview,2026-07-14T15:18:08.978153
13,C. Ruud,2435,/en/players/casper-ruud/rh16/overview,2026-07-14T15:18:08.978153
14,L. Musetti,2315,/en/players/lorenzo-musetti/m0ej/overview,2026-07-14T15:18:08.978153
15,L. Tien,2270,/en/players/learner-tien/t0ha/overview,2026-07-14T15:18:08.978153
16,A. Rublev,2230,/en/players/andrey-rublev/re44/overview,2026-07-14T15:18:08.978153
17,F. Tiafoe,2230,/en/players/frances-tiafoe/td51/overview,2026-07-14T15:18:08.978153
18,L. Darderi,2210,/en/players/luciano-darderi/d0fj/overview,2026-07-14T15:18:08.978153
19,J. Mensik,2205,/en/players/jakub-mensik/m0ni/overview,2026-07-14T15:18:08.978153
20,A. Davidovich Fokina,2160,/en/players/alejandro-davidovich-fokina/dh50/overview,2026-07-14T15:18:08.978153
21,V. Vacherot,2138,/en/players/valentin-vacherot/va25/overview,2026-07-14T15:18:08.978153
22,F. Cerundolo,2110,/en/players/francisco-cerundolo/c0au/overview,2026-07-14T15:18:08.978153
23,A. Fils,1990,/en/players/arthur-fils/f0f1/overview,2026-07-14T15:18:08.978153
24,T. Paul,1975,/en/players/tommy-paul/pl56/overview,2026-07-14T15:18:08.978153
25,R. Jodar,1927,/en/players/rafael-jodar/j0dz/overview,2026-07-14T15:18:08.978153
26,K. Khachanov,1780,/en/players/karen-khachanov/ke29/overview,2026-07-14T15:18:08.978153
27,J. Fonseca,1710,/en/players/joao-fonseca/f0fv/overview,2026-07-14T15:18:08.978153
28,A. Rinderknech,1683,/en/players/arthur-rinderknech/rc91/overview,2026-07-14T15:18:08.978153
29,U. Humbert,1575,/en/players/ugo-humbert/hh26/overview,2026-07-14T15:18:08.978153
30,T. Etcheverry,1460,/en/players/tomas-martin-etcheverry/ea24/overview,2026-07-14T15:18:08.978153
