run_id,run_kind,started_at,completed_at,status,auto_settle_enabled,rankings_refresh_enabled,odds_rows_fetched,odds_rows_candidate,feature_rows_total,feature_rows_ok,feature_rows_skipped,feature_skip_reason_summary,prediction_rows_total,prediction_rows_success,prediction_rows_error,prediction_log_attempts,prediction_log_created,prediction_log_updated,prediction_log_skipped_incomplete,bet_opportunities,bets_logged,settlement_candidates,settlement_newly_settled,settlement_auto_settled_bets,settlement_reason_summary,performance_shadow_attempts,performance_shadow_logged,performance_shadow_models_loaded,error_message
run_20260708T034903Z,prediction_pipeline,2026-07-08T03:49:03+00:00,2026-07-08T03:59:18+00:00,success,True,True,150,28,28,26,2,"{""feature_error:P1 rank is None (not ranked / not found on TA) for slug: DiegoDedura"": 1, ""feature_error:TA profile load failed for slug: ManasManojDhamne"": 1}",28,26,2,28,2,26,0,13,0,75,0,0,"{""matched_and_settled"": 1, ""ta_empty"": 74, ""too_recent_to_settle"": 24}",260,260,10,
run_20260708T064329Z,prediction_pipeline,2026-07-08T06:43:29+00:00,,running,,,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,{},0,0,0,
run_20260708T071952Z,prediction_pipeline,2026-07-08T07:19:52+00:00,2026-07-08T07:56:28+00:00,success,False,True,149,149,149,143,6,"{""inside_pre_match_buffer_5m"": 3, ""scheduled_start_passed"": 3}",149,143,6,149,122,27,0,29,0,0,0,0,{},1430,1430,10,
run_20260708T094211Z,prediction_pipeline,2026-07-08T09:42:11+00:00,2026-07-08T09:51:19+00:00,success,True,True,154,25,25,24,1,"{""feature_error:TA profile load failed for slug: ManasManojDhamne"": 1}",25,24,1,25,0,25,0,13,13,75,1,0,"{""matched_and_settled"": 1, ""ta_empty"": 74, ""too_recent_to_settle"": 140}",240,240,10,
run_20260708T120034Z,prediction_pipeline,2026-07-08T12:00:34+00:00,2026-07-08T12:06:49+00:00,success,True,True,107,19,19,12,7,"{""inside_pre_match_buffer_5m"": 4, ""scheduled_start_passed"": 3}",19,12,7,19,0,19,0,9,3,75,1,0,"{""matched_and_settled"": 1, ""recently_attempted"": 74, ""ta_empty"": 74, ""too_recent_to_settle"": 140}",120,120,10,
run_20260708T144433Z,prediction_pipeline,2026-07-08T14:44:33+00:00,2026-07-08T14:48:57+00:00,success,True,True,10,10,10,10,0,{},10,10,0,10,0,10,0,5,1,75,48,0,"{""matched_and_settled"": 48, ""recently_attempted"": 148, ""ta_empty"": 27, ""too_recent_to_settle"": 138}",100,100,10,
run_20260708T165413Z,prediction_pipeline,2026-07-08T16:54:13+00:00,2026-07-08T16:58:48+00:00,success,True,True,33,7,7,7,0,{},7,7,0,7,0,7,0,3,2,2,0,0,"{""recently_attempted"": 175, ""ta_empty"": 2, ""too_recent_to_settle"": 138}",70,70,10,
run_20260708T192158Z,prediction_pipeline,2026-07-08T19:21:58+00:00,2026-07-08T19:25:59+00:00,success,True,True,17,3,3,3,0,{},3,3,0,3,0,3,0,0,0,11,0,0,"{""recently_attempted"": 177, ""ta_empty"": 11, ""too_recent_to_settle"": 127}",30,30,10,
run_20260708T193233Z,prediction_pipeline,2026-07-08T19:32:33+00:00,2026-07-08T19:35:47+00:00,success,True,True,18,3,3,3,0,{},3,3,0,3,0,3,0,0,0,7,0,0,"{""recently_attempted"": 188, ""ta_empty"": 7, ""too_recent_to_settle"": 120}",30,30,10,
run_20260708T194008Z,prediction_pipeline,2026-07-08T19:40:08+00:00,2026-07-08T19:44:00+00:00,success,True,True,15,3,3,3,0,{},3,3,0,3,0,3,0,0,0,75,0,0,"{""recently_attempted"": 18, ""ta_empty"": 75, ""too_recent_to_settle"": 11}",30,30,10,
